Domain,Type,TLD Manager,RDAP URLs
.car,generic,XYZ.COM LLC,https://rdap.centralnic.com/car/
.caravan,generic,"Caravan International, Inc.",https://rdap.nic.caravan/
.cards,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.care,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.career,generic,dotCareer LLC,https://rdap.nominet.uk/career/
.careers,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.cars,generic,XYZ.COM LLC,https://rdap.centralnic.com/cars/
.cartier,generic,Not assigned,
.casa,generic,"Registry Services, LLC",https://rdap.nic.casa/
.case,generic,"Digity, LLC",https://rdap.centralnic.com/case/
.caseih,generic,Not assigned,
.cash,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.casino,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.cat,sponsored,Fundacio puntCAT,https://rdap.nic.cat/
.catering,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.catholic,generic,Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication),https://rdap.nic.catholic/
.cba,generic,COMMONWEALTH BANK OF AUSTRALIA,https://rdap.nic.cba/
.cbn,generic,"The Christian Broadcasting Network, Inc.",https://rdap.nic.cbn/
.cbre,generic,"CBRE, Inc.",https://rdap.nic.cbre/
.cbs,generic,Not assigned,
.cc,country-code,eNIC Cocos (Keeling) Islands Pty. Ltd. d/b/a Island Internet Services,https://tld-rdap.verisign.com/cc/v1/
.cd,country-code,Office Congolais des Postes et Télécommunications - OCPT,
.ceb,generic,Not assigned,
.center,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.ceo,generic,XYZ.COM LLC,https://rdap.centralnic.com/ceo/
.cern,generic,"European Organization for Nuclear Research (""CERN"")",https://rdap.identitydigital.services/rdap/
.cf,country-code,Societe Centrafricaine de Telecommunications (SOCATEL),
.cfa,generic,CFA Institute,https://rdap.identitydigital.services/rdap/
.cfd,generic,Shortdot SA,https://rdap.centralnic.com/cfd/
.cg,country-code,Interpoint Switzerland,
.ch,country-code,SWITCH The Swiss Education & Research Network,
.chanel,generic,Chanel International B.V.,https://rdap.identitydigital.services/rdap/
.channel,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.charity,generic,Public Interest Registry (PIR),https://rdap.publicinterestregistry.org/rdap/
.chase,generic,"JPMorgan Chase Bank, National Association",https://rdap.nic.chase/
.chat,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.cheap,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.chintai,generic,CHINTAI Corporation,https://rdap.nic.chintai/
.chloe,generic,Not assigned,
.christmas,generic,XYZ.COM LLC,https://rdap.centralnic.com/christmas/
.chrome,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.chrysler,generic,Not assigned,
.church,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.ci,country-code,Autorité de Régulation des Télécommunications/TIC de Côte d’lvoire (ARTCI),
.cipriani,generic,Hotel Cipriani Srl,https://rdap.identitydigital.services/rdap/
.circle,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/circle/
.cisco,generic,"Cisco Technology, Inc.",https://rdap.nic.cisco/
.citadel,generic,Citadel Domain LLC,https://rdap.identitydigital.services/rdap/
.citi,generic,Citigroup Inc.,https://rdap.nic.citi/
.citic,generic,CITIC Group Corporation,https://rdap.zdnsgtld.com/citic/
.city,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.cityeats,generic,Not assigned,
.ck,country-code,Telecom Cook Islands Ltd.,
.cl,country-code,NIC Chile (University of Chile),
.claims,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.cleaning,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.click,generic,Internet Naming Co.,https://whois.uniregistry.net/rdap/
.clinic,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.clinique,generic,The Estée Lauder Companies Inc.,https://rdap.identitydigital.services/rdap/
.clothing,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.cloud,generic,ARUBA PEC S.p.A.,https://rdap.registry.cloud/rdap/
.club,generic,"Registry Services, LLC",https://rdap.nic.club/
.clubmed,generic,Club Méditerranée S.A.,https://rdap.identitydigital.services/rdap/
.cm,country-code,Agence Nationale des Technologies de l'Information et de la Communication (ANTIC),https://rdap.nic.cm/
.cn,country-code,China Internet Network Information Center (CNNIC),
.co,country-code,Ministry of Information and Communications Technologies (MinTIC),
.coach,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.codes,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.coffee,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.college,generic,XYZ.COM LLC,https://rdap.centralnic.com/college/
.cologne,generic,dotKoeln GmbH,https://rdap.ryce-rsp.com/rdap/
.com,generic,VeriSign Global Registry Services,https://rdap.verisign.com/com/v1/
.comcast,generic,Not assigned,
.commbank,generic,COMMONWEALTH BANK OF AUSTRALIA,https://rdap.nic.commbank/
.community,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.company,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.compare,generic,"Registry Services, LLC",https://rdap.nic.compare/
.computer,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.comsec,generic,"VeriSign, Inc.",https://tld-rdap.verisign.com/comsec/v1/
.condos,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.construction,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.consulting,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.contact,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.contractors,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.cooking,generic,"Registry Services, LLC",https://rdap.nic.cooking/
.cookingchannel,generic,Not assigned,
.cool,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.coop,sponsored,DotCooperation LLC,https://rdap.registry.coop/rdap/
.corsica,generic,Collectivité de Corse,https://rdap.nic.corsica/
.country,generic,Internet Naming Co.,https://whois.uniregistry.net/rdap/
