Domain,Type,TLD Manager,RDAP URLs,DNSSEC,Search
.computer,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.comsec,generic,"VeriSign, Inc.",https://tld-rdap.verisign.com/comsec/v1/,Yes,Yes
.condos,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.construction,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.consulting,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.contact,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.contractors,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.cooking,generic,"Registry Services, LLC",https://rdap.nic.cooking/,Yes,Yes
.cookingchannel,generic,Not assigned,,No,Yes
.cool,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.coop,sponsored,DotCooperation LLC,https://rdap.registry.coop/rdap/,Yes,Yes
.corsica,generic,Collectivité de Corse,https://rdap.nic.corsica/,Yes,Yes
.country,generic,Internet Naming Co.,https://whois.uniregistry.net/rdap/,Yes,Yes
.coupon,generic,"Amazon Registry Services, Inc.",https://rdap.identitydigital.services/rdap/,Yes,Yes
.coupons,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.courses,generic,"Registry Services, LLC",https://rdap.nic.courses/,Yes,Yes
.cpa,generic,American Institute of Certified Public Accountants,https://rdap.nic.cpa/,Yes,Yes
.cr,country-code,National Academy of Sciences (Academia Nacional de Ciencias),https://rdap.nic.cr/,Yes,Yes
.credit,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.creditcard,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.creditunion,generic,"DotCooperation, LLC",https://rdap.registry.coop/rdap/,Yes,Yes
.cricket,generic,dot Cricket Limited,https://rdap.nic.cricket/,Yes,Yes
.crown,generic,Crown Equipment Corporation,https://rdap.crown.fury.ca/rdap/,Yes,Yes
.crs,generic,Federated Co-operatives Limited,https://rdap.identitydigital.services/rdap/,Yes,Yes
.cruise,generic,Viking River Cruises (Bermuda) Ltd.,https://rdap.identitydigital.services/rdap/,Yes,Yes
.cruises,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.csc,generic,Not assigned,,No,Yes
.cu,country-code,CENIAInternet,,No,Yes
.cuisinella,generic,SCHMIDT GROUPE S.A.S.,https://rdap.nic.cuisinella/,Yes,Yes
.cv,country-code,Agência Reguladora Multissectorial da Economia (ARME),https://rdap.nic.cv/,No,Yes
.cw,country-code,University of Curacao,,No,Yes
.cx,country-code,Christmas Island Domain Administration Limited,https://rdap.nic.cx/,Yes,Yes
.cy,country-code,University of Cyprus,,Yes,Yes
.cymru,generic,Nominet UK,https://rdap.nominet.uk/cymru/,Yes,Yes
.cyou,generic,Shortdot SA,https://rdap.centralnic.com/cyou/,Yes,Yes
.cz,country-code,"CZ.NIC, z.s.p.o",https://rdap.nic.cz/,Yes,Yes
.dabur,generic,Not assigned,,No,Yes
.dad,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/,Yes,Yes
.dance,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
